,PISD-F,,PISD,,PISD-0,,PISD-FullW,,PISD-NoW,
,k,w,k,w,PISD-0,w,k,w,k,w
Adiac,13,6,13,4,4,0,13,176,13,0
ArrowHead,3,1,3,1,3,0,3,251,3,0
Beef,3,1,3,1,3,0,3,470,3,0
BeetleFly,32,9,17,50,3,0,17,512,17,0
BirdChicken,3,1,3,1,3,0,3,512,3,0
Car,8,9,25,20,8,0,25,577,25,0
CBF,5,9,4,18,8,0,4,128,4,0
ChlorineConcentration ,6,9,6,18,7,0,6,166,6,0
CinC_ECG_torso,35,9,35,18,132,0,35,1639,35,0
Coffee,3,1,3,1,3,0,3,286,3,0
Computers,3,1,3,1,3,0,3,720,3,0
Cricket_X,19,9,27,18,25,0,27,300,27,0
Cricket_Y,22,10,19,14,22,0,19,300,19,0
Cricket_Z,25,9,22,40,27,0,22,300,22,0
DiatomSizeReduction,3,1,3,1,3,0,3,345,3,0
DistalPhalanxOutlineCorrect,7,8,7,4,7,0,7,80,7,0
DistalPhalanxOutlineAgeGroup,4,9,4,14,4,0,4,80,4,0
DistalPhalanxTW,7,9,7,14,7,0,7,80,7,0
Earthquakes,13,10,8,18,17,0,8,512,8,0
ECG200,6,1,6,18,6,0,6,96,6,0
ECG5000 ,4,1,4,4,5,0,4,140,4,0
ECGFiveDays,9,3,9,18,10,0,9,136,9,0
ElectricDevices ,8,9,9,8,6,0,9,96,8,0
FaceAll ,11,9,11,18,11,0,11,131,11,0
FaceFour,9,6,9,4,9,0,9,350,9,0
FacesUCR,12,9,12,12,10,0,12,131,12,0
50Words,20,9,20,16,13,0,20,270,20,0
Fish,12,10,38,18,12,0,38,463,38,0
FordA ,3,1,8,90,3,0,8,500,8,0
FordB ,17,6,17,40,22,0,17,500,17,0
Gun_Point,13,9,14,18,4,0,14,150,14,0
Ham,27,9,39,26,39,0,39,431,39,0
HandOutlines ,110,10,30,20,110,0,30,2709,30,0
Haptics,3,1,3,1,35,0,3,1092,3,0
Herring,13,7,13,22,22,0,13,512,13,0
InlineSkate ,22,9,22,100,22,0,22,1882,22,0
InsectWingbeatSound ,14,1,3,1,21,0,3,256,3,0
ItalyPowerDemand,3,1,3,1,3,0,3,24,3,0
LargeKitchenAppliances ,3,1,3,1,3,0,3,720,3,0
Lighting2,15,9,21,26,45,0,21,637,21,0
Lighting7,3,1,17,50,3,0,17,319,17,0
MALLAT ,13,9,13,18,13,0,13,1024,13,0
Meat,3,1,3,1,3,0,3,448,3,0
MedicalImages,9,9,9,14,6,0,9,99,9,0
MiddlePhalanxOutlineCorrect,3,1,3,1,4,0,3,80,3,0
MiddlePhalanxOutlineAgeGroup,7,9,7,14,7,0,7,80,7,0
MiddlePhalanxTW,4,9,4,14,4,0,4,80,4,0
MoteStrain,6,9,6,16,4,0,6,84,6,0
NonInvasiveFatalECG_Thorax1 ,10,4,10,35,10,0,10,750,10,0
NonInvasiveFatalECG_Thorax2 ,3,1,32,6,3,0,32,750,32,0
OliveOil,25,9,25,18,25,0,25,570,25,0
OSU Leaf,19,10,19,80,11,0,19,427,19,0
PhalangesOutlinesCorrect ,6,1,6,14,6,0,6,80,6,0
Phoneme ,23,10,23,50,23,0,23,1024,23,0
Plane,9,9,9,18,3,0,9,144,9,0
ProximalPhalanxOutlineCorrect,5,9,5,14,5,0,5,80,5,0
ProximalPhalanxOutlineAgeGroup,3,1,3,1,3,0,3,80,3,0
ProximalPhalanxTW,5,9,5,14,5,0,5,80,5,0
RefrigerationDevices ,58,10,51,90,3,0,51,720,51,0
ScreenType ,3,1,3,1,3,0,3,720,3,0
ShapeletSim,22,9,31,30,3,0,31,500,31,0
ShapesAll ,22,10,13,100,22,0,13,512,13,0
SmallKitchenAppliances,10,8,10,22,10,0,10,720,10,0
SonyAIBORobotSurface,3,1,3,1,3,0,3,70,3,0
SonyAIBORobotSurfaceII,4,9,4,12,4,0,4,65,4,0
StarLightCurves ,13,10,13,35,3,0,13,1024,13,0
Strawberry,15,9,15,18,11,0,15,235,15,0
Swedish Leaf,8,9,8,18,8,0,8,128,8,0
Symbols,7,9,7,18,10,0,7,398,7,0
Synthetic Control,6,3,6,10,5,0,6,60,6,0
ToeSegmentation1,8,9,10,40,25,0,10,277,10,0
ToeSegmentation2,22,9,12,35,12,0,12,343,12,0
Trace,10,9,15,18,10,0,15,275,15,0
TwoLeadECG,8,9,8,16,5,0,8,82,8,0
Two_Patterns ,10,9,12,20,3,0,12,128,12,0
uWaveGestureLibrary_X ,23,9,12,22,20,0,12,315,12,0
uWaveGestureLibrary_Y ,17,9,29,12,17,0,29,315,29,0
uWaveGestureLibrary_Z ,14,10,17,18,9,0,17,315,17,0
UWaveGestureLibraryAll ,30,9,30,26,30,0,30,945,30,0
wafer ,7,9,7,8,14,0,7,152,7,0
Wine,3,1,3,1,3,0,3,234,3,0
WordSynonyms,8,10,13,22,17,0,13,270,13,0
Worms,55,9,55,40,3,0,55,900,55,0
WormsTwoClass,55,9,55,18,55,0,55,900,55,0
yoga,35,9,27,40,39,0,27,426,27,0
Average,13.882,6.706,13.812,21.024,13.941,0,13.812,422.212,13.8,0
